ID	Family	Group	Color	New	Check	Information	Function	File	Status	Severity	Comment	CWE ID	Key	Line	Col
3547	Defect	Static memory	Red	yes	Null pointer	Impact: High	MPC5777C_crc_calculate()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\crc\MPC5777C_crc.c	Unreviewed	Unset		CWE-476 CWE-690	468C194EAA3162F50A15293472	222	49
3648	Defect	Static memory	Red	yes	Null pointer	Impact: High	MPC5777C_dspi_deinitialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\dspi\MPC5777C_dspi.c	Unreviewed	Unset		CWE-476 CWE-690	C64E1C4EAA3162F50A15293262	698	21
3550	Defect	Static memory	Red	yes	Array access out of bounds	Impact: High	MPC5777C_dspi_slave_set_output_buffer()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\dspi\MPC5777C_dspi.c	Unreviewed	Unset		CWE-119 CWE-131 CWE-466	43C60EA755A87D12F4AA93225F824992142B4D9A	468	55
3661	Defect	Programming	Red	no	Floating point comparison with equality operators	Impact: Medium	math_asinf()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\util\math\SERVICE_math.c	Unreviewed	Unset		CWE-873	70DCC9242811AF46983D0A45EBD3283264	879	22
3662	Defect	Programming	Red	no	Floating point comparison with equality operators	Impact: Medium	math_asinf()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\util\math\SERVICE_math.c	Unreviewed	Unset		CWE-873	70DCC9242811AF46983D0A45EBD3283564	879	52
3582	Defect	Numerical	Red	no	Bitwise operation on negative value	Impact: Medium	conv_byte2engb()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\util\conversion\SERVICE_conversion.c	Unreviewed	Unset		CWE-682 CWE-758	3764D012948AD5A4538A7D7254E8CC9B	724	37
3651	Defect	Numerical	Red	yes	Sign change integer conversion overflow	Impact: Medium	MPC5777C_dspi_chan_init()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\dspi\MPC5777C_dspi.c	Unreviewed	Unset		CWE-192 CWE-194 CWE-195 CWE-196	62C0B1036A52A34EBE0D4214C9D1A2336E	1060	37
3663	Defect	Numerical	Red	yes	Sign change integer conversion overflow	Impact: Medium	toUint8FromHexChar()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\03_common\StringUtils.c	Unreviewed	Unset		CWE-192 CWE-194 CWE-195 CWE-196	316CC49A94E893AF4390057274A84C9B	161	17
3664	Defect	Numerical	Red	yes	Sign change integer conversion overflow	Impact: Medium	toUint8FromHexChar()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\03_common\StringUtils.c	Unreviewed	Unset		CWE-192 CWE-194 CWE-195 CWE-196	316CE49A94E893AF4390057274A84C99	169	13
3647	Defect	Data flow	Red	yes	Useless if	Impact: Medium	MPC5777C_clock_get_ticks()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\clock\MPC5777C_clock.c	Unreviewed	Unset			CC1B31AA4D2AC4A8D4A95F9219C1	361	8
3548	Defect	Data flow	Red	yes	Useless if	Impact: Medium	MPC5777C_crc_initialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\crc\MPC5777C_crc.c	Unreviewed	Unset			A64DAA538A312A356AD7A44670	55	8
3549	Defect	Data flow	Red	yes	Useless if	Impact: Medium	MPC5777C_crc_deinitialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\crc\MPC5777C_crc.c	Unreviewed	Unset			4C1839AA4D2AC4A8D4A95F9219C1	109	8
3557	Defect	Data flow	Red	yes	Useless if	Impact: Medium	MPC5777C_ebi_initialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\ebi\MPC5777C_ebi.c	Unreviewed	Unset			074EAA538A312A356AD7A44670	89	8
3558	Defect	Data flow	Red	yes	Useless if	Impact: Medium	MPC5777C_ebi_deinitialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\ebi\MPC5777C_ebi.c	Unreviewed	Unset			CC1C38AA4D2AC4A8D4A95F9219C1	388	8
3564	Defect	Data flow	Red	yes	Useless if	Impact: Medium	MPC5777C_intc_initialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\intc\MPC5777C_intc.c	Unreviewed	Unset			4D1C32AA4D2AC4A8D4A95F9219C1	582	8
3656	Defect	Data flow	Red	yes	Useless if	Impact: Medium	MPC5777C_pit_start()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\pit\MPC5777C_pit.c	Unreviewed	Unset			4C9A36AA4D2AC4A8D4A95F9219C1	156	8
3589	Defect	Data flow	Red	no	Useless if	Impact: Medium	crc_sw_calculate()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\crc_sw\SERVICE_crc_sw.c	Unreviewed	Unset			983168559A548951A953BE25321346	114	12
3654	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_intc_deinitialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\intc\MPC5777C_intc.c	Unreviewed	Unset		CWE-561	C68D19448A0522F568D3224568	662	4
3565	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_intc_initialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\intc\MPC5777C_intc.c	Unreviewed	Unset		CWE-561	4D1C3888150A44EBD0A7448AC491	588	12
3569	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sbc_get_status()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sbc\MPC5777C_sbc.c	Unreviewed	Unset		CWE-561	CC183388150A44EBD0A7448AC4B1	303	16
3571	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sci_check_pins_channels()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sci\MPC5777C_sci.c	Unreviewed	Unset		CWE-561	0D183588150A44EBD0A7448AC491	405	12
3572	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sci_check_pins_channels()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sci\MPC5777C_sci.c	Unreviewed	Unset		CWE-561	0D193588150A44EBD0A7448AC491	425	12
3573	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sci_check_pins_channels()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sci\MPC5777C_sci.c	Unreviewed	Unset		CWE-561	0D1A3488150A44EBD0A7448AC491	444	12
3574	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sci_check_pins_channels()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sci\MPC5777C_sci.c	Unreviewed	Unset		CWE-561	0D1B3488150A44EBD0A7448AC491	464	12
3575	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sci_check_pins_channels()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sci\MPC5777C_sci.c	Unreviewed	Unset		CWE-561	0D1C3488150A44EBD0A7448AC491	484	12
